ts,tomcat_busy,tomcat_current,hikari_active,hikari_pending,hikari_timeout,jvm_mem_used,mysql_threads_connected,mysql_threads_running
2026-04-22T15:16:20Z,,,,,,,12,3
2026-04-22T15:18:17Z,,,,,,,11,2
2026-04-22T15:18:45Z,,,,,,,11,2
2026-04-22T15:18:51Z,,,,,,,11,2
2026-04-22T15:18:56Z,,,,,,,11,2
2026-04-22T15:19:02Z,,,,,,,11,2
2026-04-22T15:19:08Z,,,,,,,11,2
2026-04-22T15:19:13Z,,,,,,,11,2
2026-04-22T15:19:19Z,,,,,,,11,2
2026-04-22T15:19:24Z,,,,,,,11,2
2026-04-22T15:19:30Z,,,,,,,11,2
2026-04-22T15:19:35Z,,,,,,,11,2
2026-04-22T15:19:41Z,,,,,,,11,2
2026-04-22T15:19:46Z,,,,,,,11,2
2026-04-22T15:19:51Z,,,,,,,11,2
2026-04-22T15:19:57Z,,,,,,,11,2
2026-04-22T15:20:03Z,,,,,,,11,2
2026-04-22T15:20:08Z,,,,,,,11,2
2026-04-22T15:20:14Z,,,,,,,11,2
2026-04-22T15:20:19Z,,,,,,,11,2
2026-04-22T15:20:25Z,,,,,,,11,2
2026-04-22T15:20:30Z,,,,,,,11,2
2026-04-22T15:20:36Z,,,,,,,11,2
2026-04-22T15:20:41Z,,,,,,,11,2
2026-04-22T15:20:47Z,,,,,,,11,2
2026-04-22T15:20:53Z,,,,,,,11,2
2026-04-22T15:20:59Z,,,,,,,11,2
2026-04-22T15:21:06Z,,,,,,,11,2
2026-04-22T15:21:11Z,,,,,,,11,2
2026-04-22T15:21:17Z,,,,,,,11,2
2026-04-22T15:21:23Z,,,,,,,11,2
2026-04-22T15:21:29Z,,,,,,,11,2
2026-04-22T15:21:35Z,,,,,,,11,2
2026-04-22T15:21:40Z,,,,,,,11,2
2026-04-22T15:21:47Z,,,,,,,11,2
2026-04-22T15:21:52Z,,,,,,,11,2
2026-04-22T15:21:58Z,,,,,,,11,2
2026-04-22T15:22:04Z,,,,,,,11,2
2026-04-22T15:22:10Z,,,,,,,11,2
2026-04-22T15:22:16Z,,,,,,,11,2
2026-04-22T15:22:22Z,,,,,,,11,2
2026-04-22T15:22:28Z,,,,,,,11,2
2026-04-22T15:22:33Z,,,,,,,11,2
2026-04-22T15:22:39Z,,,,,,,11,2
2026-04-22T15:22:45Z,,,,,,,11,2
2026-04-22T15:22:51Z,,,,,,,11,2
2026-04-22T15:22:57Z,,,,,,,11,2
2026-04-22T15:23:03Z,,,,,,,11,2
2026-04-22T15:23:08Z,,,,,,,11,2
2026-04-22T15:23:14Z,,,,,,,11,2
2026-04-22T15:23:19Z,,,,,,,11,2
2026-04-22T15:23:25Z,,,,,,,11,2
2026-04-22T15:23:30Z,,,,,,,11,2
2026-04-22T15:23:36Z,,,,,,,11,2
2026-04-22T15:23:41Z,,,,,,,11,2
2026-04-22T15:23:47Z,,,,,,,11,2
2026-04-22T15:23:52Z,,,,,,,11,2
2026-04-22T15:23:58Z,,,,,,,11,2
2026-04-22T15:24:03Z,,,,,,,11,2
2026-04-22T15:24:09Z,,,,,,,11,2
2026-04-22T15:26:06Z,,,,,,,11,2
2026-04-22T15:26:12Z,,,,,,,11,2
2026-04-22T15:26:18Z,,,,,,,11,2
2026-04-22T15:27:36Z,,,,,,,11,2
2026-04-22T15:27:43Z,,,,,,,11,2
2026-04-22T15:27:49Z,,,,,,,11,2
2026-04-22T15:27:54Z,,,,,,,11,2
2026-04-22T15:28:00Z,,,,,,,11,2
2026-04-22T15:28:06Z,,,,,,,11,2
2026-04-22T15:28:12Z,,,,,,,11,2
2026-04-22T15:28:17Z,,,,,,,11,2
2026-04-22T15:28:23Z,,,,,,,11,2
2026-04-22T15:28:28Z,,,,,,,11,2
2026-04-22T15:28:34Z,,,,,,,11,2
2026-04-22T15:28:40Z,,,,,,,11,2
2026-04-22T15:28:45Z,,,,,,,11,2
2026-04-22T15:28:51Z,,,,,,,11,2
2026-04-22T15:28:56Z,,,,,,,11,2
2026-04-22T15:29:02Z,,,,,,,11,2
2026-04-22T15:29:07Z,,,,,,,11,2
2026-04-22T15:29:13Z,,,,,,,11,2
2026-04-22T15:29:19Z,,,,,,,11,2
2026-04-22T15:29:24Z,,,,,,,11,2
2026-04-22T15:29:30Z,,,,,,,11,2
2026-04-22T15:29:35Z,,,,,,,11,2
2026-04-22T15:29:41Z,,,,,,,11,2
2026-04-22T15:29:46Z,,,,,,,11,2
2026-04-22T15:29:52Z,,,,,,,11,2
2026-04-22T15:29:58Z,,,,,,,11,2
2026-04-22T15:30:03Z,,,,,,,11,2
2026-04-22T15:30:09Z,,,,,,,11,3
2026-04-22T15:30:17Z,,,,,,,11,2
2026-04-22T15:30:23Z,,,,,,,11,2
2026-04-22T15:30:28Z,,,,,,,11,2
2026-04-22T15:30:33Z,,,,,,,11,2
2026-04-22T15:30:39Z,,,,,,,11,2
2026-04-22T15:30:44Z,,,,,,,11,2
2026-04-22T15:30:50Z,,,,,,,11,2
2026-04-22T15:30:56Z,,,,,,,11,2
2026-04-22T15:31:02Z,,,,,,,11,2
2026-04-22T15:31:09Z,,,,,,,11,2
2026-04-22T15:31:15Z,,,,,,,11,2
2026-04-22T15:31:20Z,,,,,,,11,2
2026-04-22T15:31:26Z,,,,,,,11,2
2026-04-22T15:31:32Z,,,,,,,11,2
2026-04-22T15:31:38Z,,,,,,,11,2
2026-04-22T15:31:43Z,,,,,,,11,2
2026-04-22T15:31:49Z,,,,,,,11,2
